CUSTOMER_ID,CLV
0,1447682.1183872335
14646,279489.0194430053
18102,256438.48836052418
17450,187482.17097187042
14911,132572.61927819997
12415,123725.45012295246
14156,113384.1395097971
17511,88125.379832834
16684,65892.07947385311
13694,62653.09972114861
15311,59419.33935089409
13089,57385.87981957197
14096,57120.910033643246
15061,54228.73964327574
17949,52750.839656353
15769,51823.71931743622
16029,50992.60974860191
14298,50862.43973316252
14088,50415.489711761475
17841,40340.779700398445
13798,36351.41967058182
16422,33805.68986222148
12931,33462.81033372879
16013,33366.24962210655
15838,33350.75982120633
17389,31300.079700231552
17404,30300.81977403164
12748,29072.09982611984
13098,28658.879590637982
13081,27964.479853756726
13408,27487.409849971533
14680,26932.339901715517
17857,26763.340524315834
16333,26626.799204349518
13777,25748.349857330322
15749,21535.89981365204
16210,21086.300425887108
12753,21024.009951114655
17381,20272.429741621017
17675,20098.099771380424
15039,19786.43992009759
12731,18793.409891843796
12471,18740.919917941093
15159,18573.679875403643
12678,17588.25993102789
17428,17078.449947565794
13881,16989.519904136658
13767,16945.71001434326
12921,16389.739931493998
12901,16293.099707752466
17677,16219.219918251038
15856,16173.669863015413
15189,15802.139783859253
14051,15477.339792966843
16839,15357.77971458435
14031,14634.63987493515
15513,14520.0799061656
16133,14305.659971296787
14866,14197.449925497174
16705,13946.129944235086
12681,13677.58992049098
12621,13612.06992956996
12433,13375.869884997606
12540,13309.039963662624
12477,13117.009900331497
17735,13110.019838154316
14258,12650.079806089401
15640,12433.339935183525
13078,12432.280046463013
15498,12396.459941238165
16000,12393.699977397919
12682,12288.219856083393
12557,11990.960164785385
16525,11895.569890975952
17340,11891.1798992455
14606,11713.849898010492
12939,11581.800231933594
14607,11341.099945545197
14194,11216.749890595675
15125,11117.049954086542
12409,11056.93000048399
14895,11020.259933799505
12971,10930.259956479073
13340,10736.480000972748
17581,10736.109903305769
13319,10664.339961647987
14769,10641.599935859442
17139,10585.569953918457
13113,10510.000029861927
14062,10464.849886000156
16779,10454.049980014563
17107,10380.429955497384
15615,10360.03990328312
15251,10327.110038936138
16180,10217.479819327593
16843,10183.819931566715
17865,10158.53991895914
17706,10097.369897454977
12590,9861.379929304123
13199,9803.95991358161
13001,9797.919935524464
15078,9623.349796295166
13458,9537.919989019632
14733,9451.539920449257
16523,9295.669812381268
12709,9294.099973738194
14667,9231.199921160936
14367,9167.819858923554
12744,9120.389989852905
12567,9114.939959257841
18092,9065.759970664978
13969,8986.689951568842
12451,8933.51996922493
13488,8910.609963923693
16033,8727.609931051731
13090,8689.389924645424
17243,8628.549951344728
17306,8600.729834914207
17017,8574.11003163457
16656,8568.23998260498
18139,8393.220024377108
16558,8257.03989943862
15358,8234.799956530333
12683,8221.089947670698
14056,8124.399939328432
14936,8117.419951826334
16672,8093.589939832687
13854,8025.020024061203
18109,7925.31998449564
14952,7912.789958715439
14849,7904.280001103878
12428,7877.199963361025
14796,7839.5099188014865
12435,7829.889964103699
15290,7803.7700045108795
13629,7792.359820127487
13093,7741.469933688641
14527,7711.379911065102
17811,7677.709968596697
15044,7629.379921525717
15194,7521.169977337122
18172,7490.169913172722
13263,7454.069945067167
17396,7330.800026893616
18229,7276.900001525879
13018,7272.7499568760395
12583,7187.339995205402
16745,7170.70001834631
12474,7116.469999879599
12980,7092.060145139694
16729,7076.279971167445
13324,7072.799926280975
16873,7066.309988498688
13985,7024.529927968979
14961,7006.579993605614
12766,6989.629930585623
12798,6977.039915084839
15465,6945.019916176796
13027,6912.000102996826
12989,6854.509952396154
16187,6841.239941000938
16713,6840.229955732822
17416,6838.339981228113
12705,6814.239976733923
15023,6763.159949749708
18055,6752.139947891235
16532,6748.800086975098
12830,6748.399970531464
15601,6745.359952896833
13576,6703.300069451332
16746,6694.309923321009
16353,6675.709834039211
16923,6666.829962641001
15249,6657.359936386347
16652,6654.25998544693
16182,6617.649875164032
17338,6612.17995108664
15482,6568.719950675964
12476,6546.579973816872
15144,6530.03990650177
16814,6500.599946379662
15694,6423.6000146865845
12431,6416.389971792698
13871,6389.799937218428
12626,6388.349957764149
13102,6336.29000878334
18223,6315.229947090149
16126,6287.7699275016785
13709,6249.109957575798
12359,6245.529964864254
12472,6229.479984730482
13668,6216.069893449545
12357,6207.669989347458
17315,6204.459949426353
15005,6180.489959999919
14057,6147.399964183569
14060,6135.3799169659615
15939,6102.259936213493
17509,6100.739992380142
13225,6083.039988040924
14101,5976.789989233017
12637,5953.2499669492245
15382,5927.859957665205
13097,5893.319949388504
13418,5845.439965881407
14944,5842.9499515891075
13209,5820.159971266985
14505,5818.69996714592
13316,5815.490015298128
14415,5811.559934020042
14735,5807.689971446991
15218,5756.889952272177
17686,5739.459923744202
13178,5725.469934850931
12720,5713.279972702265
13050,5684.6099527180195
14110,5669.65001732111
16553,5664.569996714592
13468,5656.749949723482
14049,5639.1499464809895
13004,5613.429980188608
13534,5613.07992041111
18118,5595.769963026047
17049,5594.779930859804
12481,5590.859993606806
