RANK,CUSTOMER_ID,REVENUE
1,0,1447682.1183872335
2,14646,279489.0194430053
3,18102,256438.48836052418
4,17450,187482.17097187042
5,14911,132572.61927819997
6,12415,123725.45012295246
7,14156,113384.1395097971
8,17511,88125.379832834
9,16684,65892.07947385311
10,13694,62653.09972114861
11,15311,59419.33935089409
12,13089,57385.87981957197
13,14096,57120.910033643246
14,15061,54228.73964327574
15,17949,52750.839656353
16,15769,51823.71931743622
17,16029,50992.60974860191
18,14298,50862.43973316252
19,14088,50415.489711761475
20,17841,40340.779700398445
21,13798,36351.41967058182
22,16422,33805.68986222148
23,12931,33462.81033372879
24,16013,33366.24962210655
25,15838,33350.75982120633
26,17389,31300.079700231552
27,17404,30300.81977403164
28,12748,29072.09982611984
29,13098,28658.879590637982
30,13081,27964.479853756726
31,13408,27487.409849971533
32,14680,26932.339901715517
33,17857,26763.340524315834
34,16333,26626.799204349518
35,13777,25748.349857330322
36,15749,21535.89981365204
37,16210,21086.300425887108
38,12753,21024.009951114655
39,17381,20272.429741621017
40,17675,20098.099771380424
41,15039,19786.43992009759
42,12731,18793.409891843796
43,12471,18740.919917941093
44,15159,18573.679875403643
45,12678,17588.25993102789
46,17428,17078.449947565794
47,13881,16989.519904136658
48,13767,16945.71001434326
49,12921,16389.739931493998
50,12901,16293.099707752466
51,17677,16219.219918251038
52,15856,16173.669863015413
53,15189,15802.139783859253
54,14051,15477.339792966843
55,16839,15357.77971458435
56,14031,14634.63987493515
57,15513,14520.0799061656
58,16133,14305.659971296787
59,14866,14197.449925497174
60,16705,13946.129944235086
61,12681,13677.58992049098
62,12621,13612.06992956996
63,12433,13375.869884997606
64,12540,13309.039963662624
65,12477,13117.009900331497
66,17735,13110.019838154316
67,14258,12650.079806089401
68,15640,12433.339935183525
69,13078,12432.280046463013
70,15498,12396.459941238165
71,16000,12393.699977397919
72,12682,12288.219856083393
73,12557,11990.960164785385
74,16525,11895.569890975952
75,17340,11891.1798992455
76,14606,11713.849898010492
77,12939,11581.800231933594
78,14607,11341.099945545197
79,14194,11216.749890595675
80,15125,11117.049954086542
81,12409,11056.93000048399
82,14895,11020.259933799505
83,12971,10930.259956479073
84,13340,10736.480000972748
85,17581,10736.109903305769
86,13319,10664.339961647987
87,14769,10641.599935859442
88,17139,10585.569953918457
89,13113,10510.000029861927
90,14062,10464.849886000156
91,16779,10454.049980014563
92,17107,10380.429955497384
93,15615,10360.03990328312
94,15251,10327.110038936138
95,16180,10217.479819327593
96,16843,10183.819931566715
97,17865,10158.53991895914
98,17706,10097.369897454977
99,12590,9861.379929304123
100,13199,9803.95991358161
101,13001,9797.919935524464
102,15078,9623.349796295166
103,13458,9537.919989019632
104,14733,9451.539920449257
105,16523,9295.669812381268
106,12709,9294.099973738194
107,14667,9231.199921160936
108,14367,9167.819858923554
109,12744,9120.389989852905
110,12567,9114.939959257841
111,18092,9065.759970664978
112,13969,8986.689951568842
113,12451,8933.51996922493
114,13488,8910.609963923693
115,16033,8727.609931051731
116,13090,8689.389924645424
117,17243,8628.549951344728
118,17306,8600.729834914207
119,17017,8574.11003163457
120,16656,8568.23998260498
121,18139,8393.220024377108
122,16558,8257.03989943862
123,15358,8234.799956530333
124,12683,8221.089947670698
125,14056,8124.399939328432
126,14936,8117.419951826334
127,16672,8093.589939832687
128,13854,8025.020024061203
129,18109,7925.31998449564
130,14952,7912.789958715439
131,14849,7904.280001103878
132,12428,7877.199963361025
133,14796,7839.5099188014865
134,12435,7829.889964103699
135,15290,7803.7700045108795
136,13629,7792.359820127487
137,13093,7741.469933688641
138,14527,7711.379911065102
139,17811,7677.709968596697
140,15044,7629.379921525717
141,15194,7521.169977337122
142,18172,7490.169913172722
143,13263,7454.069945067167
144,17396,7330.800026893616
145,18229,7276.900001525879
146,13018,7272.7499568760395
147,12583,7187.339995205402
148,16745,7170.70001834631
149,12474,7116.469999879599
150,12980,7092.060145139694
151,16729,7076.279971167445
152,13324,7072.799926280975
153,16873,7066.309988498688
154,13985,7024.529927968979
155,14961,7006.579993605614
156,12766,6989.629930585623
157,12798,6977.039915084839
158,15465,6945.019916176796
159,13027,6912.000102996826
160,12989,6854.509952396154
161,16187,6841.239941000938
162,16713,6840.229955732822
163,17416,6838.339981228113
164,12705,6814.239976733923
165,15023,6763.159949749708
166,18055,6752.139947891235
167,16532,6748.800086975098
168,12830,6748.399970531464
169,15601,6745.359952896833
170,13576,6703.300069451332
171,16746,6694.309923321009
172,16353,6675.709834039211
173,16923,6666.829962641001
174,15249,6657.359936386347
175,16652,6654.25998544693
176,16182,6617.649875164032
177,17338,6612.17995108664
178,15482,6568.719950675964
179,12476,6546.579973816872
180,15144,6530.03990650177
181,16814,6500.599946379662
182,15694,6423.6000146865845
183,12431,6416.389971792698
184,13871,6389.799937218428
185,12626,6388.349957764149
186,13102,6336.29000878334
187,18223,6315.229947090149
188,16126,6287.7699275016785
189,13709,6249.109957575798
190,12359,6245.529964864254
191,12472,6229.479984730482
192,13668,6216.069893449545
193,12357,6207.669989347458
194,17315,6204.459949426353
195,15005,6180.489959999919
196,14057,6147.399964183569
197,14060,6135.3799169659615
198,15939,6102.259936213493
199,17509,6100.739992380142
200,13225,6083.039988040924
201,14101,5976.789989233017
202,12637,5953.2499669492245
203,15382,5927.859957665205
204,13097,5893.319949388504
205,13418,5845.439965881407
206,14944,5842.9499515891075
207,13209,5820.159971266985
208,14505,5818.69996714592
209,13316,5815.490015298128
210,14415,5811.559934020042
211,14735,5807.689971446991
212,15218,5756.889952272177
213,17686,5739.459923744202
214,13178,5725.469934850931
215,12720,5713.279972702265
216,13050,5684.6099527180195
217,14110,5669.65001732111
218,16553,5664.569996714592
219,13468,5656.749949723482
220,14049,5639.1499464809895
221,13004,5613.429980188608
222,13534,5613.07992041111
223,18118,5595.769963026047
224,17049,5594.779930859804
225,12481,5590.859993606806
226,17757,5585.489985570312
227,12839,5583.619990289211
228,16767,5580.599940165877
229,15502,5541.459992587566
230,17716,5505.789977192879
231,16985,5461.619964420795
232,15805,5452.169952362776
233,16609,5450.959935963154
234,16265,5423.149971187115
235,12490,5417.9299639463425
236,17719,5367.799968719482
237,18225,5361.019947320223
238,16161,5352.969949990511
239,13269,5315.919980555773
240,16303,5305.829973936081
241,15150,5303.969966292381
242,17730,5288.829970881343
243,17850,5288.629973649979
244,16258,5203.509983569384
245,18226,5192.099932074547
246,15727,5178.959985285997
247,17858,5155.660022735596
248,12362,5154.580000460148
249,16701,5150.269938528538
250,13756,5145.119942605495
251,15903,5126.339990705252
252,17061,5116.130002498627
253,14688,5107.379958167672
254,18198,5083.059868454933
255,15046,5064.010014295578
256,12432,5059.3199771642685
257,13139,5055.7899550795555
258,17602,5050.7699483931065
259,15719,5043.959938377142
260,16700,5039.999957233667
261,13599,5030.599941879511
262,15301,5028.119990944862
263,17426,5022.259972572327
264,12444,5005.45999288559
265,14755,4965.379965513945
266,15547,4954.8399553895
267,14329,4928.739957988262
268,16191,4913.319981187582
269,13941,4912.409941196442
270,14709,4911.139886856079
271,12437,4896.659982800484
272,17133,4892.240053772926
273,12688,4873.809997737408
274,12700,4867.989981204271
275,12664,4863.8800365924835
276,15786,4834.1999779343605
277,14292,4819.329903483391
278,17365,4801.559957534075
279,15738,4788.769967317581
280,13013,4786.989976257086
281,15555,4758.199947796762
282,17690,4748.449959844351
283,17652,4737.129968166351
284,12955,4734.259998142719
285,16722,4711.209977686405
286,14562,4709.219946980476
287,12714,4708.859974682331
288,14135,4690.309940010309
289,15152,4684.239971905947
290,14159,4678.299971744418
291,15187,4670.080007791519
292,14191,4660.0099377036095
293,14180,4640.769965171814
294,17809,4627.620018348098
295,14189,4604.309979259968
296,16931,4604.219967365265
297,15291,4596.50994682312
298,14286,4595.809976011515
299,14390,4592.46997576952
300,14004,4582.639957666397
301,17068,4531.339920222759
302,17613,4509.369991898537
303,12484,4495.269974350929
304,12524,4485.719924300909
305,12627,4478.529982924461
306,15032,4464.099940657616
307,17364,4455.729974403977
308,14085,4435.78995731473
309,15093,4410.1399765610695
310,13267,4404.439967036247
311,17975,4393.609900146723
312,16984,4392.419968038797
313,15955,4389.809934258461
314,16626,4379.64998281002
315,12752,4366.780012488365
316,16945,4345.499942302704
317,15874,4330.66995704174
318,14016,4328.4599913954735
319,18251,4314.719962120056
320,12347,4309.999987721443
321,17937,4301.220008850098
322,13505,4282.879996985197
323,15034,4277.6599929481745
324,14422,4263.639958679676
325,12712,4241.6299521923065
326,14800,4236.33996924758
327,12757,4227.699941366911
328,14525,4221.369976818562
329,12500,4206.26988697052
330,17920,4204.09999037534
331,17419,4200.969988107681
332,15971,4199.849977731705
333,12747,4196.00999879837
334,18041,4161.140015982091
335,16549,4154.639975644648
336,13555,4149.279965668917
337,12949,4143.0199773311615
338,13384,4122.279965907335
339,15570,4109.969979941845
340,12536,4106.819983065128
341,13988,4098.799985945225
342,14534,4075.3499611616135
343,16592,4073.2799728810787
344,12449,4067.2899984121323
345,12569,4064.9899804592133
346,14092,4063.0999759733677
347,16401,4061.2400144040585
348,14401,4039.9799605607986
349,16670,4022.4599647521973
350,13815,4014.9099858105183
351,17567,4012.5599912405014
352,12378,4008.619987696409
353,16186,3991.9399921298027
354,17001,3989.5699653327465
355,14547,3986.7399620711803
356,12867,3986.219980955124
357,12656,3982.719965994358
358,12957,3979.039992451668
359,15416,3974.369974344969
360,15529,3967.779965519905
361,17769,3960.629955381155
362,13183,3957.7800192832947
363,14277,3956.99999371171
364,17611,3947.8699871599674
365,12727,3947.6999939084053
366,17377,3925.919936090708
367,14426,3918.8999733924866
368,17593,3911.5599641501904
369,13802,3906.2699797153473
370,14739,3899.0999578237534
371,17651,3886.6699443161488
372,12841,3876.3999996185303
373,14291,3873.2999523878098
374,12779,3868.699992418289
375,12749,3868.199984461069
376,13124,3866.3299939334393
377,13999,3865.2599600553513
378,18073,3864.4398626089096
379,15195,3861
380,12539,3852.4999961853027
381,15804,3848.5499876737595
382,16327,3844.219987332821
383,12662,3817.0799912512302
384,17091,3802.8099229335785
385,15867,3797.789954200387
386,16655,3794.5199596881866
387,13435,3794.489979147911
388,15299,3787.089998483658
389,12562,3781.739967018366
390,15298,3774.0999766737223
391,16168,3770.599990129471
392,18087,3770.1199518442154
393,17173,3755.649968147278
394,13523,3755.3799854516983
395,16904,3754.2699603438377
396,12429,3750.3999910354614
397,17238,3744.649978622794
398,12668,3743.1799814105034
399,16145,3741.979983329773
400,14282,3729.3399513065815
401,15808,3724.769968152046
402,12502,3723.8699840307236
403,13069,3717.8199859261513
404,13266,3717.669984102249
405,14364,3717.349940419197
406,16240,3693.8099842965603
407,12597,3683.12999355793
408,12647,3669.919974923134
409,16253,3665.620009481907
410,17819,3661.069945335388
411,12553,3652.2499665915966
412,18079,3651.9699890613556
413,15845,3650.870004415512
414,16712,3645.4299663603306
415,16440,3640.6699701547623
416,15379,3631.8899895250797
417,13381,3626.809987783432
418,16570,3622.9499785900116
419,13327,3617.569945693016
420,15296,3610.3099706918
421,13137,3605.079972989857
422,16242,3598.25994938612
423,13082,3595.4800063073635
424,14132,3580.1299943327904
425,12417,3578.79999384284
426,17203,3563.849964439869
427,15484,3563.109953969717
428,13426,3550.6999807059765
429,12370,3545.6899975538254
430,14503,3543.2599647045135
431,15544,3542.5100054740906
432,14040,3542.189958781004
433,17491,3541.9199535250664
434,17528,3540.0999822318554
435,13552,3539.52996340394
436,13334,3536.8199581205845
437,17160,3518.0299737155437
438,13953,3515.679990053177
439,16131,3506.539999127388
440,15505,3497.139977514744
441,13520,3487.750002384186
442,16458,3482.73995834589
443,14907,3478.849975824356
444,14395,3471.909941211343
445,17230,3466.6699789762497
446,13448,3465.669942200184
447,17576,3457.779986023903
448,17758,3456.6999506652355
449,15410,3450.839955806732
450,16019,3450.2399640977383
